Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;28773;"Ca-A Cancer Journal for Clinicians";journal;"15424863, 00079235";"John Wiley and Sons Inc";No;No;62,937;Q1;236;45;118;3309;15981;79;131,45;73,53;51,03;17;United States;Northern America;"John Wiley and Sons Inc";"1950-2026";"Hematology (Q1); Oncology (Q1)";"Medicine"
2;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";"Centers for Disease Control and Prevention (CDC)";Yes;No;40,949;Q1;158;10;9;1292;548;9;58,29;129,20;52,56;3;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
3;20315;"Nature Reviews Molecular Cell Biology";journal;"14710072, 14710080";"Nature Research";No;No;37,461;Q1;553;114;337;8346;10754;165;32,75;73,21;33,33;12;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
4;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;34,573;Q1;336;40;120;2733;1962;119;14,72;68,33;21,37;39;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;21100812243;"Nature Reviews Materials";journal;"20588437";"Nature Publishing Group";No;No;32,011;Q1;242;85;262;9156;10601;136;30,36;107,72;24,05;9;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2026";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Energy; Materials Science"
6;58530;"National Vital Statistics Reports";book series;"15518922, 15518930";"National Center for Health Statistics";No;No;28,083;Q1;123;13;34;239;1396;34;41,30;18,38;72,73;0;United States;Northern America;"National Center for Health Statistics";"1998-2025";"Life-span and Life-course Studies (Q1)";"Social Sciences"
7;18434;"Cell";journal;"00928674, 10974172";"Elsevier B.V.";No;No;26,304;Q1;956;568;1683;34899;52397;1554;28,24;61,44;37,80;110;United States;Northern America;"Elsevier B.V.";"1974-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
8;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";"Nature Research";No;No;26,214;Q1;458;106;327;7332;6366;150;20,96;69,17;33,01;17;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9;29719;"Reviews of Modern Physics";journal;"00346861, 15390756";"American Physical Society";No;No;24,877;Q1;417;34;124;9662;6426;120;52,59;284,18;13,89;0;United States;Northern America;"American Physical Society";"1929-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
10;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;21,034;Q1;235;105;214;5811;1624;182;8,07;55,34;19,92;102;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
11;21318;"Nature Reviews Immunology";journal;"14741741, 14741733";"Nature Research";No;No;20,529;Q1;511;223;435;8069;8294;202;17,50;36,18;39,32;42;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
12;23340;"Chemical Reviews";journal;"15206890, 00092665";"American Chemical Society";No;No;20,528;Q1;905;252;737;104757;41965;705;54,05;415,70;29,04;18;United States;Northern America;"American Chemical Society";"1924-2026";"Chemistry (miscellaneous) (Q1)";"Chemistry"
13;71056;"MMWR Surveillance Summaries";journal;"15458636, 15460738";"Centers for Disease Control and Prevention (CDC)";Yes;No;19,961;Q1;121;26;48;478;2284;48;58,81;18,38;68,71;11;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2009, 2011-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
14;15847;"New England Journal of Medicine";journal;"00284793, 15334406";"Massachussetts Medical Society";No;No;19,889;Q1;1275;1673;4309;15927;87798;1827;20,20;9,52;40,09;9;United States;Northern America;"Massachussetts Medical Society";"1945-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
15;21100812579;"Nature Energy";journal;"20587546";"Springer Nature";No;No;19,733;Q1;291;199;634;5558;16918;400;25,87;27,93;25,45;61;United States;Northern America;"Springer Nature";"2016-2026";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
16;12464;"Nature Reviews Cancer";journal;"1474175X, 14741768";"Nature Research";No;No;19,575;Q1;548;88;370;8894;9301;202;18,80;101,07;30,41;10;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
17;15819;"Nature Medicine";journal;"1546170X, 10788956";"Nature Research";No;No;19,536;Q1;676;435;943;10053;22757;655;23,86;23,11;37,20;165;United Kingdom;Western Europe;"Nature Research";"1995-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
18;21100778827;"Nature Methods";journal;"15487091, 15487105";"Nature Research";No;No;19,469;Q1;432;329;1010;6436;15078;649;10,05;19,56;27,90;18;United Kingdom;Western Europe;"Nature Research";"2004-2026";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
19;18990;"Nature Genetics";journal;"10614036, 15461718";"Nature Research";No;No;18,861;Q1;679;181;751;8686;16212;603;21,51;47,99;41,28;32;United Kingdom;Western Europe;"Nature Research";"1992-2026";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
20;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;18,318;Q1;132;31;76;7077;1572;75;15,22;228,29;43,01;16;United States;Northern America;"Academy of Management";"2007, 2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
21;20651;"Annual Review of Immunology";book series;"15453278, 07320582";"Annual Reviews Inc.";No;No;18,301;Q1;349;30;74;5413;2161;74;27,62;180,43;32,05;3;United States;Northern America;"Annual Reviews Inc.";"1983-2025";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
22;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;18,151;Q1;386;76;205;3888;1690;202;6,05;51,16;16,17;65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
23;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;16,936;Q1;399;120;499;6639;3972;489;8,48;55,33;22,71;84;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
24;16801;"Annual Review of Biochemistry";book series;"15454509, 00664154";"Annual Reviews Inc.";No;No;16,921;Q1;342;32;105;4637;3408;105;22,86;144,91;32,69;0;United States;Northern America;"Annual Reviews Inc.";"1946-1948, 1950-1960, 1962-2025";"Biochemistry (Q1)";"Biochemistry, Genetics and Molecular Biology"
25;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;16,700;Q1;242;84;188;3862;1049;171;5,17;45,98;13,76;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
26;21100826569;"Nature Reviews Chemistry";journal;"23973358";"Nature Publishing Group";No;No;16,465;Q1;153;84;275;7134;4882;147;14,74;84,93;22,93;4;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
27;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;15,993;Q1;1495;2178;8538;48138;121867;4031;14,48;22,10;33,86;569;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
28;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;15,641;Q1;184;68;183;3995;1038;183;5,58;58,75;17,88;58;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
